timestamp,name,session,label,phase,repetition,fatigue,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08
2026-09-15 22:06:51.198695,vivienne,1,flexion,moving,1,1,12,10,-1,7,2,-14,-9,-1
2026-09-15 22:06:51.213308,vivienne,1,flexion,moving,1,1,1,2,4,0,2,0,-3,1
2026-09-15 22:06:51.213954,vivienne,1,flexion,moving,1,1,-12,-11,0,-12,-6,0,4,-6
2026-09-15 22:06:51.221285,vivienne,1,flexion,moving,1,1,-8,-1,-2,-3,-8,-7,-3,-6
2026-09-15 22:06:51.221975,vivienne,1,flexion,moving,1,1,3,5,12,6,-6,-7,4,2
2026-09-15 22:06:51.228081,vivienne,1,flexion,moving,1,1,7,0,-1,5,2,1,-3,1
2026-09-15 22:06:51.228412,vivienne,1,flexion,moving,1,1,0,-6,-1,-8,-3,2,4,-5
2026-09-15 22:06:51.243832,vivienne,1,flexion,moving,1,1,-4,-1,-8,-8,-4,-3,-6,-3
2026-09-15 22:06:51.244457,vivienne,1,flexion,moving,1,1,9,10,-1,9,7,-3,-6,1
2026-09-15 22:06:51.250774,vivienne,1,flexion,moving,1,1,-3,-1,-1,-1,-7,1,-4,0
2026-09-15 22:06:51.251490,vivienne,1,flexion,moving,1,1,-14,-8,1,-14,-4,5,0,4
2026-09-15 22:06:51.257947,vivienne,1,flexion,moving,1,1,1,3,-5,0,-1,-5,-3,1
2026-09-15 22:06:51.258419,vivienne,1,flexion,moving,1,1,5,3,4,6,-2,-9,-7,2
2026-09-15 22:06:51.272808,vivienne,1,flexion,moving,1,1,1,-7,4,3,2,1,-5,-5
2026-09-15 22:06:51.273025,vivienne,1,flexion,moving,1,1,-8,-12,-17,-19,-6,0,-4,-2
2026-09-15 22:06:51.280994,vivienne,1,flexion,moving,1,1,0,1,-9,6,-10,2,-1,-2
2026-09-15 22:06:51.281217,vivienne,1,flexion,moving,1,1,6,6,-8,-2,10,-9,-6,0
2026-09-15 22:06:51.287715,vivienne,1,flexion,moving,1,1,-2,0,7,4,3,3,-9,3
2026-09-15 22:06:51.287908,vivienne,1,flexion,moving,1,1,1,-11,-9,-11,-11,3,2,-4
2026-09-15 22:06:51.303489,vivienne,1,flexion,moving,1,1,-8,0,-2,4,0,-4,1,-5
2026-09-15 22:06:51.303735,vivienne,1,flexion,moving,1,1,9,12,0,11,4,-11,-3,-1
2026-09-15 22:06:51.310356,vivienne,1,flexion,moving,1,1,-3,-3,5,2,-5,7,-2,0
2026-09-15 22:06:51.310561,vivienne,1,flexion,moving,1,1,-5,-16,-12,-19,-6,3,1,-1
2026-09-15 22:06:51.318026,vivienne,1,flexion,moving,1,1,0,7,-4,0,-2,-10,-1,1
2026-09-15 22:06:51.318309,vivienne,1,flexion,moving,1,1,7,6,6,5,4,-7,-4,-2
2026-09-15 22:06:51.333244,vivienne,1,flexion,moving,1,1,1,-7,-16,-3,-1,-2,-1,0
2026-09-15 22:06:51.333858,vivienne,1,flexion,moving,1,1,-9,-7,4,-5,-2,4,0,0
2026-09-15 22:06:51.341379,vivienne,1,flexion,moving,1,1,-4,5,1,2,-5,-2,-5,-3
2026-09-15 22:06:51.342123,vivienne,1,flexion,moving,1,1,6,7,-2,4,10,-12,0,2
2026-09-15 22:06:51.348185,vivienne,1,flexion,moving,1,1,3,-4,11,6,-1,8,-2,-3
2026-09-15 22:06:51.348771,vivienne,1,flexion,moving,1,1,-9,-15,-10,-7,1,5,-2,-5
2026-09-15 22:06:51.363631,vivienne,1,flexion,moving,1,1,-4,9,-2,3,4,-3,1,1
2026-09-15 22:06:51.364012,vivienne,1,flexion,moving,1,1,6,9,0,8,2,-5,-5,-3
2026-09-15 22:06:51.370354,vivienne,1,flexion,moving,1,1,1,0,4,-3,-2,8,2,4
2026-09-15 22:06:51.370656,vivienne,1,flexion,moving,1,1,-13,-9,-2,-10,-3,5,2,-6
2026-09-15 22:06:51.377959,vivienne,1,flexion,moving,1,1,-3,10,3,7,0,-10,-3,3
2026-09-15 22:06:51.378373,vivienne,1,flexion,moving,1,1,2,6,8,2,2,-1,-3,3
2026-09-15 22:06:51.393125,vivienne,1,flexion,moving,1,1,-7,-10,-6,-2,6,1,2,-2
2026-09-15 22:06:51.393691,vivienne,1,flexion,moving,1,1,-5,-6,5,-3,-5,1,0,-4
2026-09-15 22:06:51.401533,vivienne,1,flexion,moving,1,1,3,7,1,4,3,-7,-4,1
2026-09-15 22:06:51.402185,vivienne,1,flexion,moving,1,1,5,7,-5,8,3,-3,-4,-7
